MemberID,Name,JoinDate,Subsidiary
M0001,Member1,2025-05-13,Australia
M0002,Member2,2023-12-14,India
M0003,Member3,2023-02-09,Thailand
M0004,Member4,2024-11-12,Thailand
M0005,Member5,2025-01-06,Malaysia
M0006,Member6,2025-02-24,Singapore
M0007,Member7,2023-04-17,Thailand
M0008,Member8,2025-06-04,Singapore
M0009,Member9,2023-03-26,Thailand
M0010,Member10,2023-04-07,Singapore
M0011,Member11,2025-05-20,India
M0012,Member12,2024-10-05,Thailand
M0013,Member13,2023-06-26,Thailand
M0014,Member14,2023-08-30,Singapore
M0015,Member15,2024-09-07,India
M0016,Member16,2023-11-23,Singapore
M0017,Member17,2025-02-20,Australia
M0018,Member18,2025-01-06,India
M0019,Member19,2025-02-17,Singapore
M0020,Member20,2024-12-30,Thailand
M0021,Member21,2023-08-15,India
M0022,Member22,2023-04-21,Malaysia
M0023,Member23,2023-10-13,India
M0024,Member24,2023-06-09,India
M0025,Member25,2025-04-26,Singapore
M0026,Member26,2023-03-03,Singapore
M0027,Member27,2023-01-10,India
M0028,Member28,2024-06-28,India
M0029,Member29,2024-08-22,Australia
M0030,Member30,2023-10-13,Malaysia
M0031,Member31,2025-01-18,India
M0032,Member32,2024-06-29,Malaysia
M0033,Member33,2023-07-08,Thailand
M0034,Member34,2023-06-28,Malaysia
M0035,Member35,2024-01-21,Malaysia
M0036,Member36,2024-02-28,Thailand
M0037,Member37,2025-05-25,Singapore
M0038,Member38,2023-04-18,India
M0039,Member39,2024-03-20,India
M0040,Member40,2024-01-29,Australia
M0041,Member41,2023-02-01,Malaysia
M0042,Member42,2024-04-22,India
M0043,Member43,2025-02-15,Malaysia
M0044,Member44,2024-10-08,Malaysia
M0045,Member45,2023-03-07,Singapore
M0046,Member46,2024-09-08,India
M0047,Member47,2024-12-14,India
M0048,Member48,2024-10-06,Australia
M0049,Member49,2024-09-14,India
M0050,Member50,2024-01-10,India
M0051,Member51,2023-06-14,Thailand
M0052,Member52,2024-09-16,Australia
M0053,Member53,2024-12-20,Thailand
M0054,Member54,2023-02-12,Singapore
M0055,Member55,2024-03-03,Malaysia
M0056,Member56,2023-12-22,Singapore
M0057,Member57,2025-03-14,Malaysia
M0058,Member58,2025-04-09,Singapore
M0059,Member59,2025-04-14,Australia
